"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05"
"Luis Montero_DET",NA,NA,0,NA,0,0,0,NA
"Reggie Bullock_DET",NA,NA,0,NA,0,0,0,NA
"Boban Marjanovic_DET",NA,NA,4.75,NA,7.25,7.5,0,NA
"Cheick Diallo_NO",NA,NA,0,NA,0,0,0,NA
"Tyler Lydon_DEN",NA,0,NA,0,NA,0,0,NA
"Richard Jefferson_DEN",NA,0,NA,5,NA,7.75,0,NA
"Malik Beasley_DEN",NA,8.5,NA,0,NA,0,7.25,NA
"Torrey Craig_DEN",NA,0,NA,0,NA,0,0,NA
"Darrell Arthur_DEN",NA,0,NA,0,NA,0,0,NA
"Monte Morris_DEN",NA,0,NA,0,NA,0,0,NA
"Omer Asik_NO",NA,NA,0,NA,0,11.25,7.75,NA
"Jalen Jones_NO",NA,NA,0,NA,0,0,0,NA
"Solomon Hill_NO",NA,NA,0,NA,0,0,0,NA
"Frank Jackson_NO",NA,NA,0,NA,0,0,0,NA
"Charles Cooke_NO",NA,NA,0,NA,0,0,0,NA
"Alexis Ajinca_NO",NA,NA,0,NA,0,0,0,NA
"Darrun Hilliard_SA",NA,NA,0,NA,0,NA,0,NA
"Joffrey Lauvergne_SA",NA,NA,0,NA,4.75,NA,0,NA
"Derrick White_SA",NA,NA,0,NA,0,NA,0,NA
"Matt Costello_SA",NA,NA,0,NA,0,NA,0,NA
"Davis Bertans_SA",NA,NA,0,NA,1.5,NA,19.25,NA
"Rodney McGruder_MIA",NA,0,0,NA,0,NA,NA,NA
"Okaro White_MIA",NA,0,0,NA,0,NA,NA,NA
"Derrick Walton_MIA",NA,3.25,0,NA,0,NA,NA,NA
"Matt Williams_MIA",NA,0,0,NA,0,NA,NA,NA
"Jordan Mickey_MIA",NA,0,4.5,NA,0,NA,NA,NA
"AJ Hammons_MIA",NA,0,0,NA,0,NA,NA,NA
"Udonis Haslem_MIA",NA,0,0,NA,0,NA,NA,NA
